,PLAYERID,LAST,FIRST,NICKNAME,BIRTHDATE,BIRTH.CITY,DEATHDATE,CEMETERY,CEME.CITY,CEME.STATE,CEME.COUNTRY,CEME.NOTE,BIRTH.NAME,NAME.CHG,BAT.CHG,HOF
12458,kirbycl01,Kirby,Clayton Laws,Clay,06/25/1948,Washington,10/11/1991,National Memorial Park,Falls Church,Virginia,USA,Section II- Lot 824- Site 3; N38.52.798 W77.12.030,,,,
12460,kirbyjo01,Kirby,John F.,John,01/13/1865,St. Louis,10/06/1931,Sunset Memorial Park,Affton,Missouri,USA,,,,,
12461,kirbyji01,Kirby,James Herschel,Jim,05/05/1923,Nashville,07/17/2009,Woodlawn Memorial Park,Nashville,Tennessee,USA,,,,,
12463,kirbyla01,Kirby,LaRue,LaRue,12/30/1889,Eureka,06/10/1961,Eureka Cemetery,Eureka,Michigan,USA,,,,,
12467,kirchmi01,Kircher,Michael Andrew,Mike,09/30/1897,Rochester,06/26/1972,Irondequoit Cemetery,Irondequoit,New York,USA,,Wolfgang Andrew Kerscher,,,
12470,kirkbi01,Kirk,William Partlemore,Bill,07/19/1934,Coatesville,10/26/2009,Cremated,,,,Ashes retained by family,,,,
12472,kirkpen01,Kirkpatrick,Enos Claire,Enos,12/09/1884,Pittsburgh,04/14/1964,Calvary Cemetery,Pittsburgh,Pennsylvania,USA,,,,,
12475,kirkeja01,Kirke,Judson Fabian,Jay,06/16/1888,Fleischmanns,08/31/1968,Machpelah Cemetery,Pascagoula,Mississippi,USA,,,,,
12477,kirkto01,Kirk,Thomas Daniel,Tom,09/27/1927,Philadelphia,08/01/1974,Resurrection Cemetery,Bensalem,Pennsylvania,USA,,,,,
12479,kirrejo01,Kirrene,Joseph John,Joe,10/04/1931,San Francisco,10/19/2016,Sacramento Valley National Cemetery,Dixon,California,USA,,,,,
12480,kirscha01,Kirsch,Harry Louis,Harry,10/17/1887,Pittsburgh,12/25/1925,Mount Lebanon Cemetery,Mount Lebanon,Pennsylvania,USA,,,,,
12483,kisher01,Kish,Ernest Alexander,Ernie,02/06/1918,Washington,12/21/1993,Lake View Cemetery,Cleveland,Ohio,USA,,,,,
12484,kisinru01,Kisinger,Charles Samuel,Rube,12/13/1876,Adrian,07/17/1941,Oakwood Cemetery,Adrian,Michigan,USA,,,,,
12486,kissibi01,Kissinger,William Francis,Bill,08/15/1871,Dayton,04/20/1929,Evergreen Cemetery,Southgate,Kentucky,USA,,,,,
12488,kitsoch01,Kitsos,Christopher Anestos,Chris,02/11/1928,New York,06/07/2004,Memorial Gardens,Mobile,Alabama,USA,,,,,
12489,kitsofr01,Kitson,Frank R.,Frank,09/11/1869,Watson,04/13/1930,Hudson Corners Cemetery,Allegan,Michigan,USA,,,,,
12492,kittrma01,Kittridge,Malachi Jeddidah,Malachi,10/12/1869,Clinton,06/23/1928,Unknown Cemetery,Bucksport,Maine,USA,,,,,
12495,klaerhu01,Klaerner,Hugo Emil,Hugo,10/15/1908,Fredericksburg,01/03/1982,Der Stadt Friedhof,Fredericksburg,Texas,USA,,,,,
12498,klausbi01,Klaus,William Joseph,Billy,12/09/1928,Spring Grove,12/03/2006,Cremated,,,,Ashes retained by family,,,,
12500,klawial01,Klawitter,Albert Herman,Al,03/20/1889,Wilkes-Barre,10/08/1945,Valhalla Memorial Cemetery,Milwaukee,Wisconsin,USA,,,,,
12502,kleeol01,Klee,Ollie Chester,Ollie,05/20/1900,Piqua,02/09/1977,Dayton Memorial Park,Dayton,Ohio,USA,,,,,
12503,kleinch01,Klein,Charles Herbert,Chuck,10/07/1904,Indianapolis,03/28/1958,St. Joseph Cemetery,Indianapolis,Indiana,USA,Section D- Lot 69 S1/2- Grave 3,,,,HOF
12505,kleinha01,Kleine,Harold John,Hal,06/08/1923,St. Louis,12/10/1957,Resurrection Cemetery,St. Louis,Missouri,USA,,,,,
12506,kleinlo01,Klein,Louis Frank,Lou,10/22/1918,New Orleans,06/20/1976,St. Louis Cemetery #3,New Orleans,Louisiana,USA,,,,,
12507,kleinnu01,Kleinke,Norbert George,Nub,05/19/1911,Fond du Lac,03/16/1950,Mountain View Cemetery,Oakland,California,USA,,,,,
12509,kleinre01,Kleinow,John Peter,Red,07/20/1877,Milwaukee,10/09/1929,Lutheran All Faiths Cemetery,Queens,New York,USA,,,,,
12510,kleinte01,Kleinhans,Theodore Otto,Ted,04/08/1899,Deer Park,07/24/1985,Serenity Gardens Memorial Park,Largo,Florida,USA,,Traugott Otto Kleinhans,,,
12512,klembi99,Klem,William Joseph,Bill,02/22/1874,Rochester,09/16/1951,Graceland Memorial Park,Coral Gables,Florida,USA,Section H- Block 23- Lot 10- Grave 4,William Joseph Klimm,,,HOF
12514,klepfed01,Klepfer,Edward Lloyd,Ed,03/17/1888,Summerville,08/09/1950,Rose Hill Memorial Park,Tulsa,Oklahoma,USA,Abbey Mausoleum- 2nd Addition- 328- Row A1,,,,
12517,kleveja01,Kleven,Jay Allen,Jay,12/02/1949,Oakland,06/30/2009,Holy Sepulchre Cemetery,Hayward,California,USA,,,,,
12518,kliemed01,Klieman,Edward Frederick,Ed,03/21/1918,Norwood,11/15/1979,Cremated,,,,,,,,
12522,klingbo01,Klinger,Robert Harold,Bob,06/04/1908,Allenton,08/19/1977,Allen Cemetery,Allenton,Missouri,USA,,,,,
12523,klingbi01,Kling,William,Bill,01/14/1867,,08/25/1934,Calvary Cemetery,Kansas City,Missouri,USA,,,,,
12524,klinebo01,Kline,Robert George,Bob,12/09/1909,Enterprise,03/16/1987,Green Lawn Cemetery,Columbus,Ohio,USA,Lot 69- Section 81,,,,
12525,klinebo02,Kline,John Robert,Bobby,01/27/1929,St. Petersburg,10/26/2021,Cornerstone Community Church Cemetery,St. Petersburg,Florida,USA,,,,,
12527,klingjo01,Kling,John,Johnny,11/13/1875,Kansas City,01/31/1947,Mount Moriah Cemetery,Kansas City,Missouri,USA,,,,,
12528,klingjo02,Klinger,Joseph John,Joe,08/02/1902,Canonsburg,07/31/1960,Pine Crest Memorial Park,Alexander,Arkansas,USA,,,,,
12529,klingru01,Kling,Rudolph A.,Rudy,03/23/1870,St. Louis,03/14/1937,Old St. Marcus Cemetery,St. Louis,Missouri,USA,,,,,
12530,klinero01,Kline,Ronald Lee,Ron,03/09/1932,Callery,06/22/2002,Brownsdale Cemetery,Brownsdale,Pennsylvania,USA,,,,,
12533,klinest01,Kline,Steven Jack,Steve,10/06/1947,Wenatchee,06/04/2018,Chelan Fraternal Cemetery,Chelan,Washington,USA,,,,,
12534,klippjo01,Klippstein,John Calvin,Johnny,10/17/1927,Washington,10/10/2003,St. Mary Cemetery,Huntley,Illinois,USA,,,,,
12536,klobefr01,Klobedanz,Frederick Augustus,Fred,06/13/1871,Waterbury,04/12/1940,New Pine Grove Cemetery,Waterbury,Connecticut,USA,,,,,
12538,kloppst01,Klopp,Stanley Harold,Stan,12/22/1910,Womelsdorf,03/11/1980,Heidelburg Cemetery,Robesonia,Pennsylvania,USA,,,,,
12539,klozana01,Kloza,John Clarence,Nap,09/07/1903,,06/11/1962,Holy Cross Cemetery,Milwaukee,Wisconsin,USA,,Jan Klojzy,,,
12541,klugmjo01,Klugmann,Josie,Joe,03/26/1895,St. Louis,07/18/1951,Oakland Cemetery,Moberly,Missouri,USA,,,,,
12542,klumpel01,Klumpp,Elmer Edward,Elmer,08/26/1906,St. Louis,10/18/1996,Pinelawn Memorial Park,Milwaukee,Wisconsin,USA,,,,,
12543,klusmbi01,Klusman,William F.,Billy,03/24/1865,Cincinnati,06/24/1907,Baltimore Pike Cemetery,Cincinnati,Ohio,USA,Section 1- Lot 70,,,,
12544,kluszte01,Kluszewski,Theodore Bernard,Ted,09/10/1924,Argo,03/29/1988,Gate of Heaven Cemetery,Cincinnati,Ohio,USA,Gardens Mausoleum- St. Mausoleum Maus- Crypt 57- Tier C,,,,
12545,kluttcl01,Kluttz,Clyde Franklin,Clyde,12/12/1917,Rockwell,05/12/1979,Rowan Memorial Park,Salisbury,North Carolina,USA,,,,,
12548,knabeot01,Knabe,Franz Otto,Otto,06/12/1884,Carrick,05/17/1961,New Cathedral Cemetery,Philadelphia,Pennsylvania,USA,,,,,
12553,knaupco01,Knaupp,Henry Antone,Cotton,08/13/1889,San Antonio,07/06/1967,Mission Burial Park South,San Antonio,Texas,USA,,,,,
12558,kneisru01,Kneisch,Rudolph Frank,Rudy,04/10/1899,Baltimore,04/06/1965,Lorraine Park Cemetery,Baltimore,Maryland,USA,,,,,
12559,knellph01,Knell,Philip Louis,Phil,03/12/1865,Mill Valley,06/05/1944,Cremated,,,,,,,,
12561,kneppch01,Knepper,Charles,Charlie,02/18/1871,Anderson,02/06/1946,Beech Grove Cemetery,Muncie,Indiana,USA,,,,,
12562,knerrlo01,Knerr,Wallace Luther,Lou,08/21/1921,Denver,03/27/1980,Fairview Cemetery,Denver,Pennsylvania,USA,,,,,
12563,knetzel01,Knetzer,Elmer Ellsworth,Elmer,07/22/1885,Carrick,10/03/1975,St. Wendelin Cemetery,Brentwood,Pennsylvania,USA,,,,,
12565,knickau01,Knickerbocker,Austin Jay,Austin,10/15/1918,Bangall,02/18/1997,Stanford Cemetery,Stanfordville,New York,USA,,,,,
12566,knickbi01,Knickerbocker,William Hart,Bill,12/29/1911,Los Angeles,09/08/1963,Golden Gate National Cemetery,San Bruno,California,USA,,,,,
12572,knighge01,Knight,George Henry,George,11/24/1855,Lakeville,10/04/1912,Salisbury Cemetery,Salisbury,Connecticut,USA,,,,,
12573,knighjo01,Knight,Jonah William,Jonah,09/28/1859,Port Stanley,10/16/1938,St. Thomas West Avenue Cemetery,St. Thomas,Ontario,Canada,,,,,
12574,knighjo02,Knight,John Wesley,John,10/06/1885,Philadelphia,12/19/1965,Chapel of the Chimes,Oakland,California,USA,,,,,
12575,knighja01,Knight,Elmer Russell,Jack,01/12/1895,Pittsboro,07/30/1976,Victor Cemetery,Victor,Texas,USA,,,,,
12576,knighlo01,Knight,Alonzo P.,Lon,06/16/1853,Philadelphia,04/23/1932,Laurel Hill Cemetery,Philadelphia,Pennsylvania,USA,,,,,
12579,knisepe01,Knisely,Peter Cole,Pete,08/11/1884,Waynesburg,07/01/1948,Hewitt Cemetery,Rices Landing,Pennsylvania,USA,,,,,
12582,knodemi01,Knode,Kenneth Thomson,Mike,11/08/1895,Westminster,12/20/1980,Violett Cemetery,Goshen,Indiana,USA,,,,,
12583,knodera01,Knode,Robert Troxell,Ray,01/28/1901,Westminster,04/13/1982,Memorial Park Cemetery,Battle Creek,Michigan,USA,,,,,
12585,knollhu01,Knolls,Oscar Edward,Hub,12/18/1883,Valparaiso,07/01/1946,Forest Home Cemetery,Forest Park,Illinois,USA,,,,,
12586,knollpu01,Knoll,Charles Elmer,Punch,10/07/1881,Evansville,02/08/1960,Locust Hill Cemetery,Evansville,Indiana,USA,,,,,
12590,knothfr01,Knothe,Wilfred Edgar,Fritz,05/01/1903,Passaic,03/27/1963,Holy Cross Cemetery,North Arlington,New Jersey,USA,,,,,
12592,knothge01,Knothe,George Bertram,George,01/12/1898,Bayonne,07/03/1981,St. Joseph Catholic Cemetery and Mausoleum,Toms River,New Jersey,USA,,,,,
12594,knottjo01,Knotts,Joseph Steven,Joe,03/03/1884,Greensboro,09/15/1950,Cremated,,,,Ashes retained by family,,,,
12595,knottja01,Knott,John Henry,Jack,03/02/1907,Dallas,10/13/1981,Greenleaf Cemetery,Brownwood,Texas,USA,,,,,
12596,knoufed01,Knouff,Edward Augustine,Ed,06/  /1867,Philadelphia,09/14/1900,Holy Cross Cemetery,Yeadon,Pennsylvania,USA,,,,,
12597,knowlbi01,Knowlton,William Young,Bill,08/18/1898,Philadelphia,02/25/1944,Fernwood Cemetery,Fernwood- Delaware County,Pennsylvania,USA,,,,,
12599,knowlji01,Knowles,James,Jimmy,09/05/1856,Toronto,02/11/1912,Bay View-New York Bay Cemetery,Jersey City,New Jersey,USA,,,,,
12600,knowdja01,Knodell,Jacob Augustus,Jake,07/26/1852,Brooklyn,10/26/1887,Cypress Hills Cemetery,Brooklyn,New York,USA,,,,,
12601,knowlto01,Knowlson,Thomas Herbert,Tom,04/23/1895,Ridgway,04/11/1943,Woodlawn Park North Cemetery & Mausoleum,Miami,Florida,USA,,,,,
12602,knoxan01,Knox,Andrew Jackson,Andy,01/06/1864,Philadelphia,09/14/1940,Lawnview Cemetery,Rockledge,Pennsylvania,USA,,,,,
12603,knoxcl01,Knox,Clifford Hiram,Cliff,01/07/1902,Coalville,09/24/1965,Forest Cemetery,Oskaloosa,Iowa,USA,Section 40- Lot 16A,,,,
12611,kobacni01,Koback,Nicholas Nicholie,Nick,07/19/1935,Hartford,01/23/2015,West Meadow Cemetery,Newington,Connecticut,USA,Cremated,,,,
12615,kochal01,Koch,Alan Goodman,Alan,03/25/1938,Decatur,05/22/2015,B'nai Jeshurun Jewish Cemetery,Demopolis,Alabama,USA,,,,,
12617,kochebr01,Kocher,Bradley Wilson,Brad,01/16/1888,White Haven,01/13/1965,St. John Cemetery,Dallas,Pennsylvania,USA,,,,,
12621,koegepe01,Koegel,Peter John,Pete,07/31/1947,Mineola,02/04/2023,Mountain View Cemetery,Saugerties,New York,USA,,,,,
12622,koehlbe01,Koehler,Bernard James,Ben,01/26/1877,Schoerndorn,05/21/1961,Highland Cemetery,South Bend,Indiana,USA,,,,,
12623,koehlpi01,Koehler,Horace Levering,Pip,01/16/1902,Gilbert,12/08/1986,Calvary Cemetery,Tacoma,Washington,USA,,,,,
12628,koenele01,Koenecke,Leonard George,Len,01/18/1904,Baraboo,09/17/1935,Mount Repose Cemetery,Friendship,Wisconsin,USA,,,,,
12629,koenima01,Koenig,Mark Anthony,Mark,07/19/1904,San Francisco,04/22/1993,Cremated,,,,,,,,
12630,koeniwi01,Koenigsmark,Willis Thomas,Will,02/27/1896,Waterloo,07/01/1972,Waterloo City Cemetery,Waterloo,Illinois,USA,,,,,
12632,koestel01,Koestner,Elmer Joseph,Elmer,11/30/1885,Piper City,10/27/1959,Calvary Cemetery,Piper City,Illinois,USA,,,,,
12633,kohlehe01,Kohler,Henry C.,Henry,05/05/1852,Baltimore,08/27/1934,Loudon Park Cemetery,Baltimore,Maryland,USA,,Henry C. Koller,,,
12637,kokosdi01,Kokos,Richard Jerome,Dick,02/28/1928,Chicago,04/09/1986,St. Adalbert Cemetery,Niles,Illinois,USA,,Richard Jerome Kokoszka,,,
12641,kolbed01,Kolb,Edward William,Eddie,07/20/1880,Cincinnati,10/01/1949,Cremated,,,,,,,,
12643,kollodo01,Kolloway,Donald Martin,Don,08/04/1918,Posen,06/30/1994,Cedar Park Cemetery,Chicago,Illinois,USA,,,,,
12647,kolpra01,Kolp,Raymond Carl,Ray,10/01/1894,New Berlin,07/29/1967,St. Stephen Cemetery,Fort Thomas,Kentucky,USA,,,,,
12649,kolseka01,Kolseth,Karl Dickey,Karl,12/25/1892,Cambridge,05/03/1956,St. Peter & Paul Cemetery,Cumberland,Maryland,USA,,,,,
12654,kommefr01,Kommers,Frederick Raymond,Fred,03/31/1886,Chicago,06/14/1943,Cedar Park Cemetery,Chicago,Illinois,USA,,,,,
12655,koneted01,Konetchy,Edward Joseph,Ed,09/03/1885,La Crosse,05/27/1947,Greenwood Memorial Park,Fort Worth,Texas,USA,Section 29- Lot 138- Space 5 1/2,,,,
12657,konikal01,Konikowski,Alexander James,Alex,06/08/1928,Throop,09/27/1997,St. Augustine Cemetery,Seymour,Connecticut,USA,,,,,
12659,konnimi01,Konnick,Michael Aloysius,Mike,01/13/1889,Glen Lyon,07/09/1971,St. Mary Cemetery,Wilkes-Barre,Pennsylvania,USA,,,,,
12660,konopbr01,Konopka,Bruno Bruce,Bruce,09/16/1919,Hammond,09/27/1996,Cremated,,,,,,,,
12661,konstji01,Konstanty,Casimir James,Jim,03/02/1917,Strykersville,06/11/1976,Maple Grove Cemetery,Worcester,New York,USA,,,,,
12665,koober01,Koob,Ernest Gerald,Ernie,09/11/1892,Keeler,11/12/1941,Calvary Cemetery,St. Louis,Missouri,USA,Section 12- Lot 1528- Grave 5,,,,
12666,kooncca01,Koonce,Calvin Lee,Cal,11/18/1940,Fayetteville,10/28/1993,Lafayette Memorial Park,Fayetteville,North Carolina,USA,,,,,
12668,koonsha01,Koons,Harry M.,Harry,08/18/1862,Philadelphia,04/05/1932,Fernwood Cemetery,Fernwood- Delaware County,Pennsylvania,USA,,,,,
12672,kopfla01,Kopf,William Lorenz,Larry,11/03/1890,Bristol,10/15/1986,Mount Moriah Cemetery,Withamsville,Ohio,USA,,,,,
12673,kopfwa01,Kopf,Walter Henry,Wally,07/10/1899,Stonington,04/30/1979,Calvary Cemetery,Cincinnati,Ohio,USA,,,,,
12674,kopliho01,Koplitz,Howard Dean,Howie,05/04/1938,Oshkosh,01/02/2012,Lake View Memorial Park,Oshkosh,Wisconsin,USA,,,,,
12676,koppejo01,Koppe,Joseph,Joe,10/19/1930,Detroit,09/27/2006,Cremated,,,,,Joseph Kopchia,,,
12677,koppme01,Kopp,Merlin Henry,Merlin,01/02/1892,Toledo,05/06/1960,St. Mary Catholic Cemetery,Sacramento,California,USA,,,,,
12678,kopshge01,Kopshaw,George Karl,George,07/27/1896,Passaic,12/26/1934,St. Mary Cemetery,East Orange,New Jersey,USA,,,,,
12680,korchst01,Korcheck,Stephen Joseph,Steve,08/11/1932,McClellandtown,08/26/2016,Sarasota National Cemetery,Sarasota,Florida,USA,,,,,
12681,koresar01,Kores,Arthur Emil,Art,07/22/1886,Milwaukee,03/26/1974,Wisconsin Memorial Park,Brookfield,Wisconsin,USA,,,,,
12685,korwaji01,Korwan,James,Jim,03/04/1874,Brooklyn,07/24/1899,Green-Wood Cemetery,Brooklyn,New York,USA,,,,,
12688,koshocl01,Koshorek,Clement John,Clem,06/20/1925,Royal Oak,09/08/1991,White Chapel Memorial Park Cemetery,Troy,Michigan,USA,,,,,
12690,koskibi01,Koski,William John,Bill,02/06/1932,Madera,07/09/2014,Lakewood Memorial Park,Hughson,California,USA,,,,,
12692,kosloda01,Koslo,George Bernard,Dave,03/31/1920,Menasha,12/01/1975,St. John Cemetery,Menasha,Wisconsin,USA,,George Bernard Koslowski,,,
12694,kosmami01,Kosman,Michael Thomas,Mike,11/26/1917,Hamtramck,12/10/2002,St. Mary Cemetery,Lafayette,Indiana,USA,,,,,
12696,kostefr01,Koster,Frederick Charles,Fred,12/21/1905,Louisville,04/24/1979,Cave Hill Cemetery,Louisville,Kentucky,USA,,,,,
12697,kostajo01,Kostal,Joseph William,Joe,01/01/1876,Chicago,10/10/1933,Woodlawn Cemetery,Guelph,Ontario,Canada,,,,,
12702,koukajo01,Koukalik,Josef,Joe,03/03/1880,Studena,12/27/1945,St. Adalbert Cemetery,Niles,Illinois,USA,,,,,
12703,koupalo01,Koupal,Louis Laddie,Lou,12/19/1898,Tabor,12/08/1961,Resurrection Cemetery,Montebello,California,USA,,,,,
12705,kowalfa01,Kowalik,Fabian Lorenz,Fabian,04/22/1908,Falls City,08/14/1954,Holy Trinity Cemetery,Falls City,Texas,USA,,,,,
12708,koyer01,Koy,Ernest Anyz,Ernie,09/17/1909,Sealy,01/01/2007,Oak Knoll Cemetery,Bellville,Texas,USA,,,,,
12709,kozaral01,Kozar,Albert Kenneth,Al,07/05/1921,McKees Rocks,09/06/2007,Oak Grove Cemetery,Medford,Massachusetts,USA,Cremated,,,,
12712,krachjo01,Kracher,Joseph Peter,Joe,11/04/1913,Philadelphia,12/24/1981,Lawnhaven Memorial Gardens,San Angelo,Texas,USA,,,,,
12714,kraftcl01,Kraft,Clarence Otto,Clarence,06/09/1887,Evansville,03/25/1958,Greenwood Memorial Park,Fort Worth,Texas,USA,Mausoleum-Psalms- Crypt 46 C,,,,
12716,krakajo01,Krakauskas,Joseph Victor Lawrence,Joe,03/28/1915,Montreal,07/08/1960,Holy Sepulchre Cemetery,Burlington,Ontario,Canada,,,,,
12717,kralija01,Kralick,John Francis,Jack,06/01/1935,Youngstown,09/18/2012,Panteon Municipal,San Blas,Nayarit,Mexico,,,,,
12718,kralyst01,Kraly,Steve Charles,Steve,04/18/1929,Whiting,03/07/2016,Calvary Cemetery,Johnson City,New York,USA,,,,,
12719,krameja01,Kramer,John Henry,Jack,01/05/1918,New Orleans,05/18/1995,Greenwood Cemetery,New Orleans,Louisiana,USA,,,,,
12727,krappge01,Krapp,Eugene Hamlet,Gene,05/12/1887,Rochester,04/13/1923,Woodmere Cemetery,Detroit,Michigan,USA,,,,,
12731,krausch01,Krause,Charles Fredrick,Charlie,10/02/1873,Detroit,03/30/1948,Woodmere Cemetery,Detroit,Michigan,USA,,,,,
12732,krausha01,Krause,Harry William,Harry,07/12/1888,San Francisco,10/23/1940,Holy Cross Cemetery,Colma,California,USA,Section U- Row 25- Grave 32,,,,
12733,krausja01,Kraus,John William,Jack,04/26/1918,San Antonio,01/02/1976,Fort Sam Houston National Cemetery,San Antonio,Texas,USA,,,,,
12734,krausle01,Krausse,Lewis Bernard Sr.,Lew,06/08/1912,Media,09/06/1988,Palms Memorial Park,Sarasota,Florida,USA,,,,,
12735,krausle02,Krausse,Lewis Bernard Jr.,Lew,04/25/1943,Media,02/16/2021,Resurrection North Cemetery,Kansas City,Missouri,USA,,,,,
12737,kravida01,Kravitz,Daniel,Danny,12/21/1930,Lopez,06/19/2013,St. Vladimir Cemetery,Lopez,Pennsylvania,USA,,,,,
12740,krieg01,Kreeger,Edward F.,Edward,1860,,07/12/1899,Linwood Cemetery,Pana,Illinois,USA,,,,,
12741,kreevmi01,Kreevich,Michael Andreas,Mike,06/10/1908,Mount Olive,04/25/1994,Union Miners Cemetery,Mount Olive,Illinois,USA,,,,,
12742,krehmch01,Krehmeyer,Charles L.,Charlie,07/05/1863,St. Louis,02/10/1926,New St. Marcus Cemetery,St. Louis,Missouri,USA,Block 16- Lot 34- Grave 2- Grave Unmarked,,,,
12744,kreitmi01,Kreitner,Albert Joseph,Mickey,10/10/1922,Nashville,03/06/2003,Spring Hill Cemetery,Nashville,Tennessee,USA,,,,,
12746,kreitra01,Kreitz,Ralph Wesley,Ralph,11/13/1885,Plum Creek,07/20/1941,Lincoln Memorial Park,Portland,Oregon,USA,,,,,
12750,kremera01,Kremer,Remy Peter,Ray,03/23/1895,Oakland,02/08/1965,Sunset View Cemetery,El Cerrito,California,USA,,,,,
12752,kressch01,Kress,Charles Steven,Chuck,12/09/1921,Philadelphia,03/04/2014,Perham Cemetery,Perham,Minnesota,USA,,,,,
12753,kressre01,Kress,Ralph,Red,01/02/1905,Columbia,11/29/1962,Forest Lawn Memorial Park,Glendale,California,USA,,,,,
12754,kretllo01,Kretlow,Louis Henry,Lou,06/27/1921,Apache,09/12/2007,Memorial Park Cemetery,Enid,Oklahoma,USA,,,,,
12758,krichpa01,Krichell,Paul Bernard,Paul,12/19/1882,Paris,06/04/1957,Kensico Cemetery,Valhalla,New York,USA,,,,,
12759,kriegbi01,Krieg,William Frederick,Bill,01/29/1859,Petersburg,03/25/1930,Chillicothe Cemetery,Chillicothe,Illinois,USA,,,,,
12760,kriegku01,Krieger,Kurt Ferdinand,Kurt,09/16/1926,Traisen,08/16/1970,Sunset Memorial Park,Affton,Missouri,USA,,,,,
12762,kristho01,Krist,Howard Wilbur,Howie,02/28/1916,West Henrietta,04/23/1989,Delevan Cemetery,Delevan,New York,USA,,,,,
12765,krockgu01,Krock,August H.,Gus,05/09/1866,Milwaukee,03/22/1905,Pilgrims Rest Cemetery,Milwaukee,Wisconsin,USA,Buried as Gustav Krock,,,,
12768,krohru01,Kroh,Floyd Myron,Rube,08/25/1886,Friendship,03/17/1944,Garden of Memories,Metairie,Louisiana,USA,,,,,
12771,krolja99,Krol,John Thomas,Jack,07/05/1936,Chicago,05/30/1994,Parklawn Memorial Park,Winston-Salem,North Carolina,USA,Resurrection Garden- Section A- Lot 152- Space 1,,,,
12772,kronejo01,Kroner,John Harold,John,11/13/1908,St. Louis,08/26/1968,Memorial Park Cemetery,St. Louis,Missouri,USA,Section 17 Lot 11 Grave 6,,,,
12777,krueger01,Krueger,Ernest George,Ernie,12/27/1890,Chicago,04/22/1976,Oak Woods Cemetery,Chicago,Illinois,USA,,,,,
12778,kruegot01,Krueger,Arthur William,Otto,09/17/1876,Chicago,02/20/1961,Resurrection Cemetery,St. Louis,Missouri,USA,,,,,
12779,krugear01,Kruger,Arthur Theodore,Art,03/16/1881,San Antonio,11/28/1949,Holy Cross Cemetery & Mausoleum,Culver City,California,USA,,,,,
12780,krugeab01,Kruger,Abraham,Abe,02/14/1885,Morris Run,07/04/1962,St Peter & Paul Cemetery,Elmira,New York,USA,,,,,
12783,krughe01,Krug,Henry Charles,Henry,12/04/1876,San Francisco,01/14/1908,Cypress Lawn Memorial Park,Colma,California,USA,,,,,
12785,krugma01,Krug,Martin John,Marty,09/10/1888,Koblenz,06/27/1966,Forest Lawn Memorial Park,Glendale,California,USA,,,,,
12788,krummal01,Krumm,Albert,Al,01/13/1865,Pittsburgh,06/15/1937,Glen Abbey Memorial Park,Bonita,California,USA,,,,,
12789,kryhodi01,Kryhoski,Richard David,Dick,03/24/1925,Leonia,04/10/2007,Cremated,,,,Inurned at Northbrook Presbyterian Church- Beverly Hills- Michigan,,,,
12800,kucabjo01,Kucab,John Albert,Johnny,12/17/1919,Olyphant,05/26/1977,St. John's Cemetery,Campbell,Ohio,USA,,,,,
12802,kucksjo01,Kucks,John Charles,Johnny,07/27/1932,Hoboken,10/31/2013,George Washington Memorial Park,Paramus,New Jersey,USA,,,,,
12803,kuczybe01,Kuczynski,Bernard Carl,Bert,01/08/1920,Philadelphia,01/19/1997,Schoenersville Cemetery,Schoenersville,Pennsylvania,USA,,,,,
12804,kuczest01,Kuczek,Stanislaw Leo,Steve,12/28/1924,Amsterdam,11/21/2010,Gerald B.H. Solomon Saratoga National Cemetery,Schuylerville,New York,USA,,,,,
12805,kuehnbi01,Kuehne,William J.,Bill,10/24/1858,Leipzig,10/27/1921,Union Cemetery,Nelta,Ohio,USA,,,,,
12806,kuehlka99,Kuehl,Karl Otto,Karl,09/05/1937,Monterey Park,08/06/2008,Cremated,,,,,,,,
12807,kuennha01,Kuenn,Harvey Edward,Harvey,12/04/1930,West Allis,02/28/1988,Sun Land Memorial Park,Sun City,Arizona,USA,Gard. of Geth.- Unit 2- Lt. 125- Gv. C2,,,,
12808,kuhaufr01,Kuhaulua,Fred Mahele,Fred,02/23/1953,Honolulu,09/20/2021,Valley of the Temples Memorial Park,Kaneohe,Hawaii,USA,,,,,
12809,kuheljo01,Kuhel,Joseph Anthony,Joe,06/25/1906,Cleveland,02/26/1984,Forest Hill Cemetery,Kansas City,Missouri,USA,,,,,
12811,kuhnbu01,Kuhn,Bernard Daniel,Bub,10/12/1899,Vicksburg,11/20/1956,Evergreen Cemetery,Lansing,Michigan,USA,,,,,
12812,kuhnsch01,Kuhns,Charles Benton,Charlie,10/27/1877,Freeport,06/20/1922,Freeport Cemetery,Armstrong County,Pennsylvania,USA,,,,,
12816,kuhnwa01,Kuhn,Charles Walter,Walt,02/02/1887,Fresno,06/14/1935,Belmont Memorial Park,Fresno,California,USA,,,,,
12818,kulljo01,Kull,John A.,John,06/24/1882,Shenandoah,03/30/1936,Hollywood Memorial Park,Union,New Jersey,USA,,John A. Kolonauski,,,
12820,kumemi01,Kume,John Michael,Mike,05/19/1926,Premier,11/26/2012,Richmond Center Cemetery,Richmond Center,Ohio,USA,,,,,
12822,kunkebi01,Kunkel,William Gustave James,Bill,07/07/1936,Hoboken,05/04/1985,Cremated,,,,Ashes retained by family,,,,
12826,kunzea01,Kunz,Earl Dewey,Earl,12/25/1898,Sacramento,04/14/1963,St. Mary Catholic Cemetery,Sacramento,California,USA,,,,,
